city,week_day,date,temp_low1,time1,temp_high1,NA1,NA2,temp_low2,time2,temp_high2,NA3,NA4,temp_low3,time3,temp_high3,NA5,NA6,temp_low4,time4,temp_high4,NA7,NA8
birmingham,Tue, Jan 1,57,12am,61,NA,NA,57,6am,63,NA,NA,57,12pm,63,NA,NA,52,6pm,54,NA,NA
birmingham,Wed, Jan 2,48,12am,52,NA,NA,48,6am,54,NA,NA,52,12pm,54,NA,NA,50,6pm,52,NA,NA
birmingham,Thu, Jan 3,50,12am,52,NA,NA,50,6am,54,NA,NA,54,12pm,54,NA,NA,54,6pm,55,NA,NA
birmingham,Fri, Jan 4,55,12am,63,NA,NA,48,6am,63,NA,NA,46,12pm,50,NA,NA,43,6pm,46,NA,NA
birmingham,Sat, Jan 5,39,12am,43,NA,NA,39,6am,55,NA,NA,52,12pm,61,NA,NA,41,6pm,46,NA,NA
birmingham,Sun, Jan 6,37,12am,39,NA,NA,36,6am,61,NA,NA,54,12pm,66,NA,NA,43,6pm,52,NA,NA
birmingham,Mon, Jan 7,43,12am,46,NA,NA,46,6am,64,NA,NA,61,12pm,68,NA,NA,59,6pm,61,NA,NA
birmingham,Tue, Jan 8,57,12am,61,NA,NA,57,6am,66,NA,NA,63,12pm,70,NA,NA,52,6pm,61,NA,NA
birmingham,Wed, Jan 9,43,12am,48,NA,NA,43,6am,52,NA,NA,46,12pm,54,NA,NA,37,6pm,43,NA,NA
birmingham,Thu, Jan 10,30,12am,36,NA,NA,30,6am,43,NA,NA,37,12pm,46,NA,NA,28,6pm,36,NA,NA
birmingham,Fri, Jan 11,27,12am,30,NA,NA,27,6am,48,NA,NA,45,12pm,54,NA,NA,45,6pm,48,NA,NA
birmingham,Sat, Jan 12,46,12am,48,NA,NA,48,6am,52,NA,NA,48,12pm,52,NA,NA,48,6pm,48,NA,NA
birmingham,Sun, Jan 13,46,12am,52,NA,NA,45,6am,52,NA,NA,45,12pm,50,NA,NA,43,6pm,45,NA,NA
birmingham,Mon, Jan 14,39,12am,41,NA,NA,39,6am,43,NA,NA,39,12pm,43,NA,NA,37,6pm,39,NA,NA
birmingham,Tue, Jan 15,37,12am,39,NA,NA,37,6am,39,NA,NA,39,12pm,41,NA,NA,30,6pm,37,NA,NA
birmingham,Wed, Jan 16,28,12am,30,NA,NA,28,6am,48,NA,NA,45,12pm,54,NA,NA,36,6pm,43,NA,NA
birmingham,Thu, Jan 17,34,12am,41,NA,NA,41,6am,48,NA,NA,48,12pm,50,NA,NA,48,6pm,52,NA,NA
birmingham,Fri, Jan 18,52,12am,52,NA,NA,48,6am,55,NA,NA,55,12pm,61,NA,NA,52,6pm,54,NA,NA
birmingham,Sat, Jan 19,54,12am,57,NA,NA,57,6am,64,NA,NA,57,12pm,64,NA,NA,36,6pm,54,NA,NA
birmingham,Sun, Jan 20,32,12am,34,NA,NA,32,6am,34,NA,NA,32,12pm,37,NA,NA,28,6pm,32,NA,NA
birmingham,Mon, Jan 21,23,12am,27,NA,NA,21,6am,37,NA,NA,39,12pm,43,NA,NA,36,6pm,37,NA,NA
birmingham,Tue, Jan 22,36,12am,37,NA,NA,37,6am,52,NA,NA,50,12pm,54,NA,NA,52,6pm,54,NA,NA
birmingham,Wed, Jan 23,54,12am,55,NA,NA,57,6am,61,NA,NA,54,12pm,59,NA,NA,43,6pm,54,NA,NA
birmingham,Thu, Jan 24,34,12am,39,NA,NA,34,6am,37,NA,NA,39,12pm,45,NA,NA,36,6pm,37,NA,NA
birmingham,Fri, Jan 25,27,12am,34,NA,NA,28,6am,43,NA,NA,43,12pm,48,NA,NA,28,6pm,37,NA,NA
birmingham,Sat, Jan 26,27,12am,28,NA,NA,30,6am,50,NA,NA,45,12pm,52,NA,NA,36,6pm,41,NA,NA
birmingham,Sun, Jan 27,32,12am,34,NA,NA,32,6am,52,NA,NA,46,12pm,55,NA,NA,36,6pm,43,NA,NA
birmingham,Mon, Jan 28,36,12am,41,NA,NA,36,6am,57,NA,NA,57,12pm,61,NA,NA,54,6pm,55,NA,NA
birmingham,Tue, Jan 29,34,12am,48,NA,NA,30,6am,36,NA,NA,32,12pm,39,NA,NA,25,6pm,30,NA,NA
birmingham,Wed, Jan 30,21,12am,25,NA,NA,21,6am,39,NA,NA,37,12pm,43,NA,NA,27,6pm,36,NA,NA
birmingham,Thu, Jan 31,27,12am,34,NA,NA,28,6am,50,NA,NA,46,12pm,55,NA,NA,36,6pm,45,NA,NA
birmingham,Fri, Feb 1,41,12am,45,NA,NA,37,6am,57,NA,NA,54,12pm,63,NA,NA,41,6pm,50,NA,NA
birmingham,Sat, Feb 2,39,12am,46,NA,NA,39,6am,64,NA,NA,63,12pm,70,NA,NA,55,6pm,63,NA,NA
birmingham,Sun, Feb 3,50,12am,55,NA,NA,52,6am,66,NA,NA,63,12pm,72,NA,NA,54,6pm,61,NA,NA
birmingham,Mon, Feb 4,55,12am,55,NA,NA,55,6am,61,NA,NA,61,12pm,66,NA,NA,63,6pm,64,NA,NA
birmingham,Tue, Feb 5,61,12am,63,NA,NA,61,6am,66,NA,NA,68,12pm,70,NA,NA,64,6pm,66,NA,NA
birmingham,Wed, Feb 6,64,12am,66,NA,NA,66,6am,73,NA,NA,72,12pm,75,NA,NA,68,6pm,72,NA,NA
birmingham,Thu, Feb 7,66,12am,68,NA,NA,66,6am,75,NA,NA,73,12pm,77,NA,NA,57,6pm,73,NA,NA
birmingham,Fri, Feb 8,43,12am,55,NA,NA,41,6am,45,NA,NA,41,12pm,48,NA,NA,37,6pm,41,NA,NA
birmingham,Sat, Feb 9,34,12am,36,NA,NA,34,6am,48,NA,NA,46,12pm,52,NA,NA,45,6pm,48,NA,NA
birmingham,Sun, Feb 10,46,12am,48,NA,NA,45,6am,48,NA,NA,48,12pm,54,NA,NA,54,6pm,54,NA,NA
birmingham,Mon, Feb 11,52,12am,54,NA,NA,52,6am,57,NA,NA,57,12pm,63,NA,NA,61,6pm,63,NA,NA
birmingham,Tue, Feb 12,64,12am,66,NA,NA,57,6am,66,NA,NA,52,12pm,59,NA,NA,43,6pm,50,NA,NA
birmingham,Wed, Feb 13,36,12am,39,NA,NA,34,6am,54,NA,NA,52,12pm,57,NA,NA,41,6pm,46,NA,NA
birmingham,Thu, Feb 14,37,12am,43,NA,NA,43,6am,57,NA,NA,57,12pm,61,NA,NA,55,6pm,57,NA,NA
